1, 0.000080, 0.000044, 0.000005 
2, 0.000076, 0.000042, 0.000010 
3, 0.000077, 0.000043, 0.000012 
4, 0.000082, 0.000044, 0.000012 
5, 0.001491, 0.000730, 0.000005 
6, 0.000896, 0.000463, 0.000094 
7, 0.000819, 0.000424, 0.000071 
8, 0.000816, 0.000421, 0.000070 
9, 0.003144, 0.001597, 0.000005 
10, 0.003533, 0.001899, 0.000458 
11, 0.003302, 0.001667, 0.000263 
12, 0.003199, 0.001657, 0.000261 
13, 0.077359, 0.039071, 0.000018 
14, 0.080273, 0.042055, 0.006810 
15, 0.085305, 0.043226, 0.007388 
16, 0.082855, 0.042569, 0.007709 
17, 0.323307, 0.161857, 0.000036 
18, 0.330510, 0.171427, 0.028327 
19, 0.329405, 0.174482, 0.034347 
20, 0.338920, 0.179879, 0.034248 
